posteam,down,distance_bucket,play_type,n_plays_2022,n_plays_2023,n_plays_2024,Success Rate %_2022,Success Rate %_2023,Success Rate %_2024,Success Rate %_2022→2023 Δ,Success Rate %_2023→2024 Δ,Conversion %_2022,Conversion %_2023,Conversion %_2024,Conversion %_2022→2023 Δ,Conversion %_2023→2024 Δ
ARI,1,long,pass,209.0,207.0,205.0,34.93,46.379999999999995,53.169999999999995,11.4,6.8,0.0,0.0,0.0,0.0,0.0
ARI,1,long,run,221.0,216.0,214.0,33.03,35.65,37.38,2.6,1.7,0.0,0.0,0.0,0.0,0.0
ARI,1,medium,pass,1.0,5.0,8.0,0.0,60.0,25.0,60.0,-35.0,0.0,0.0,0.0,0.0,0.0
ARI,1,medium,run,8.0,11.0,9.0,50.0,36.36,66.67,-13.6,30.3,0.0,0.0,0.0,0.0,0.0
ARI,1,short,pass,2.0,3.0,5.0,0.0,0.0,80.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0
ARI,1,short,run,7.0,5.0,7.0,71.43,20.0,42.86,-51.4,22.9,0.0,0.0,0.0,0.0,0.0
ARI,1,very long,pass,18.0,9.0,14.0,33.33,22.220000000000002,42.86,-11.1,20.6,0.0,0.0,0.0,0.0,0.0
ARI,1,very long,run,4.0,5.0,11.0,75.0,20.0,27.27,-55.0,7.3,0.0,0.0,0.0,0.0,0.0
ARI,2,long,pass,122.0,58.0,64.0,49.18,31.03,56.25,-18.2,25.2,0.0,0.0,0.0,0.0,0.0
ARI,2,long,run,31.0,71.0,45.0,38.71,39.44,44.440000000000005,0.7,5.0,0.0,0.0,0.0,0.0,0.0
ARI,2,medium,pass,92.0,57.0,74.0,50.0,52.629999999999995,48.65,2.6,-4.0,0.0,0.0,0.0,0.0,0.0
ARI,2,medium,run,36.0,40.0,45.0,47.22,45.0,51.11,-2.2,6.1,0.0,0.0,0.0,0.0,0.0
ARI,2,short,pass,14.0,20.0,23.0,71.43,50.0,60.870000000000005,-21.4,10.9,0.0,0.0,0.0,0.0,0.0
ARI,2,short,run,35.0,31.0,37.0,54.290000000000006,58.06,51.349999999999994,3.8,-6.7,0.0,0.0,0.0,0.0,0.0
ARI,2,very long,pass,47.0,46.0,43.0,42.55,30.43,58.14,-12.1,27.7,0.0,0.0,0.0,0.0,0.0
ARI,2,very long,run,14.0,18.0,12.0,35.709999999999994,38.89,33.33,3.2,-5.6,0.0,0.0,0.0,0.0,0.0
ARI,3,long,pass,31.0,43.0,21.0,16.13,23.26,14.29,7.1,-9.0,16.13,25.580000000000002,14.29,9.5,-11.3
ARI,3,long,run,7.0,7.0,6.0,42.86,57.14,50.0,14.3,-7.1,42.86,42.86,33.33,0.0,-9.5
ARI,3,medium,pass,72.0,64.0,65.0,38.89,43.75,40.0,4.9,-3.8,36.11,45.31,40.0,9.2,-5.3
ARI,3,medium,run,10.0,9.0,15.0,60.0,77.78,60.0,17.8,-17.8,60.0,77.78,53.33,17.8,-24.5
ARI,3,short,pass,22.0,20.0,21.0,40.910000000000004,55.00000000000001,71.43,14.1,16.4,40.910000000000004,55.00000000000001,71.43,14.1,16.4
ARI,3,short,run,36.0,27.0,34.0,75.0,77.78,70.59,2.8,-7.2,75.0,77.78,73.53,2.8,-4.2
ARI,3,very long,pass,48.0,40.0,19.0,20.830000000000002,15.0,21.05,-5.8,6.1,12.5,12.5,15.790000000000001,0.0,3.3
ARI,3,very long,run,5.0,13.0,11.0,0.0,23.080000000000002,18.18,23.1,-4.9,0.0,7.6899999999999995,9.09,7.7,1.4
ARI,4,long,pass,,6.0,2.0,,16.669999999999998,50.0,,33.3,,16.669999999999998,0.0,,-16.7
ARI,4,medium,pass,9.0,7.0,3.0,33.33,28.57,33.33,-4.8,4.8,33.33,42.86,33.33,9.5,-9.5
ARI,4,medium,run,2.0,2.0,1.0,50.0,100.0,100.0,50.0,0.0,50.0,100.0,100.0,50.0,0.0
ARI,4,short,pass,16.0,8.0,4.0,43.75,37.5,50.0,-6.2,12.5,43.75,37.5,50.0,-6.2,12.5
ARI,4,short,run,10.0,8.0,7.0,70.0,75.0,42.86,5.0,-32.1,70.0,75.0,42.86,5.0,-32.1
