Team,Down,Distance Bucket,Play Type,2022 %,2023 %,2024 %,2022→2023 Change,2023→2024 Change
ARI,1,long,Pass,48.6%,48.9%,48.9%,0.3 %,-0.0 %
ARI,1,long,Run,51.4%,51.1%,51.1%,-0.3 %,0.0 %
ARI,1,medium,Pass,11.1%,31.2%,47.1%,20.1 %,15.8 %
ARI,1,medium,Run,88.9%,68.8%,52.9%,-20.1 %,-15.8 %
ARI,1,short,Pass,22.2%,37.5%,41.7%,15.3 %,4.2 %
ARI,1,short,Run,77.8%,62.5%,58.3%,-15.3 %,-4.2 %
ARI,1,very long,Pass,81.8%,64.3%,56.0%,-17.5 %,-8.3 %
ARI,1,very long,Run,18.2%,35.7%,44.0%,17.5 %,8.3 %
ARI,2,long,Pass,79.7%,45.0%,58.7%,-34.8 %,13.8 %
ARI,2,long,Run,20.3%,55.0%,41.3%,34.8 %,-13.8 %
ARI,2,medium,Pass,71.9%,58.8%,62.2%,-13.1 %,3.4 %
ARI,2,medium,Run,28.1%,41.2%,37.8%,13.1 %,-3.4 %
ARI,2,short,Pass,28.6%,39.2%,38.3%,10.6 %,-0.9 %
ARI,2,short,Run,71.4%,60.8%,61.7%,-10.6 %,0.9 %
ARI,2,very long,Pass,77.0%,71.9%,78.2%,-5.2 %,6.3 %
ARI,2,very long,Run,23.0%,28.1%,21.8%,5.2 %,-6.3 %
ARI,3,long,Pass,81.6%,86.0%,77.8%,4.4 %,-8.2 %
ARI,3,long,Run,18.4%,14.0%,22.2%,-4.4 %,8.2 %
ARI,3,medium,Pass,87.8%,87.7%,81.2%,-0.1 %,-6.4 %
ARI,3,medium,Run,12.2%,12.3%,18.8%,0.1 %,6.4 %
ARI,3,short,Pass,37.9%,42.6%,38.2%,4.6 %,-4.4 %
ARI,3,short,Run,62.1%,57.4%,61.8%,-4.6 %,4.4 %
ARI,3,very long,Pass,90.6%,75.5%,63.3%,-15.1 %,-12.1 %
ARI,3,very long,Run,9.4%,24.5%,36.7%,15.1 %,12.1 %
ARI,4,long,Pass,nan%,100.0%,100.0%,nan %,0.0 %
ARI,4,long,Run,nan%,0.0%,0.0%,nan %,0.0 %
ARI,4,medium,Pass,81.8%,77.8%,75.0%,-4.0 %,-2.8 %
ARI,4,medium,Run,18.2%,22.2%,25.0%,4.0 %,2.8 %
ARI,4,short,Pass,61.5%,50.0%,36.4%,-11.5 %,-13.6 %
ARI,4,short,Run,38.5%,50.0%,63.6%,11.5 %,13.6 %
ARI,4,very long,Pass,75.0%,100.0%,100.0%,25.0 %,0.0 %
ARI,4,very long,Run,25.0%,0.0%,0.0%,-25.0 %,0.0 %
ATL,1,long,Pass,31.8%,42.4%,39.5%,10.6 %,-2.9 %
ATL,1,long,Run,68.2%,57.6%,60.5%,-10.6 %,2.9 %
ATL,1,medium,Pass,10.5%,21.1%,9.1%,10.5 %,-12.0 %
ATL,1,medium,Run,89.5%,78.9%,90.9%,-10.5 %,12.0 %
ATL,1,short,Pass,40.0%,50.0%,28.6%,10.0 %,-21.4 %
ATL,1,short,Run,60.0%,50.0%,71.4%,-10.0 %,21.4 %
ATL,1,very long,Pass,69.2%,61.5%,73.1%,-7.7 %,11.5 %
